Excel Row,Organization Name,Country,Website,Google Drive ID,Google Drive URL,LOCAL FILE (fill this in)
93,"Open Educational Vibes","Serbia","www.openeducationalvibes.wordpress.com","1QlUaRClLxUsBNHQ7mNY1gZqv0SxHmSTN","https://drive.google.com/open?id=1QlUaRClLxUsBNHQ7mNY1gZqv0SxHmSTN",""
94,"SUMA - Association for Sustainable Development","Croatia","www.udruga-suma.hr","1Z457HN3ka36_dHNGRKb4ASGv7D4jXFbU","https://drive.google.com/open?id=1Z457HN3ka36_dHNGRKb4ASGv7D4jXFbU",""
95,"uMunthu NGO (part of Innoved mobility center)","Lithuania","https://www.instagram.com/innovedlietuva/","10uo7QDFMSGh26orRX8TURr8Si_8TPEq7","https://drive.google.com/open?id=10uo7QDFMSGh26orRX8TURr8Si_8TPEq7",""
96,"Genç Gönüllüler Derneği","Turkey","https://gencgonulluler.org.tr/","14RwWVH4qcCYrWuXtU1pm61cZ-OnTc6QN","https://drive.google.com/open?id=14RwWVH4qcCYrWuXtU1pm61cZ-OnTc6QN",""
97,"Keçiören Bilim ve Sanat Merkezi","Turkey","https://keciorenbilsem.meb.k12.tr/","19LbZ9cMmtXqqmEBPBQsLU_dcofWk0C5c","https://drive.google.com/open?id=19LbZ9cMmtXqqmEBPBQsLU_dcofWk0C5c",""
98,"Visionary Women's Association","Turkey","www.vikader.org.tr","1fBiLaDS310sf1lwBFa4u2nwYCkW8gA9b","https://drive.google.com/open?id=1fBiLaDS310sf1lwBFa4u2nwYCkW8gA9b",""
99,"Go Easy","North Macedonia","goeasy.eu","1JppF0io_vgBv51bvPNTXF-Z0BMTTiqSY","https://drive.google.com/open?id=1JppF0io_vgBv51bvPNTXF-Z0BMTTiqSY",""
100,"Muwanga Development Association","Uganda","https://www.muwada.org","15chVb13w4fIBPQIe-W-I-BrPn84ykUKi","https://drive.google.com/open?id=15chVb13w4fIBPQIe-W-I-BrPn84ykUKi",""
101,"Cinegiovani aps","Italy","https://cinegiovaniaps.wordpress.com/","1wU62So9hvLjR6cFPwIbEZQV_tT81a--g","https://drive.google.com/open?id=1wU62So9hvLjR6cFPwIbEZQV_tT81a--g",""
102,"ETİ Social Sciences High School","Turkey","https://esbl.meb.k12.tr/","1HjJQQRHdul9UTwZrrYZvSiLUQlllqCSB","https://drive.google.com/open?id=1HjJQQRHdul9UTwZrrYZvSiLUQlllqCSB",""
103,"SERIK MUNICIPALITY","Turkey","https://serik.bel.tr/","1l-eBUjpiLvczsmXU9sj9WQH8fEWRsGqi","https://drive.google.com/open?id=1l-eBUjpiLvczsmXU9sj9WQH8fEWRsGqi",""
104,"Tertiary Courses Nigeria and Tertiary Infotech Ventures Nigeria","Nigeria","www.tertiarycourses.com.ng","1o_73seqgCEfC_ye_v9LruVCfyz9gb0An","https://drive.google.com/open?id=1o_73seqgCEfC_ye_v9LruVCfyz9gb0An",""
105,"MUWANGA DEVELOPMENT ASSOCIATION","Uganda","www.muwade.org","1L544a93ixxQp66udK-IOOzAxI2nxzX0h","https://drive.google.com/open?id=1L544a93ixxQp66udK-IOOzAxI2nxzX0h",""
106,"Rainbow Innovative Youth Team","Turkey","https://www.instagram.com/rainyoteam/?hl=tr","1dYVPQIMNy9uoJ_jGyL8QSAtxRkGygm_o","https://drive.google.com/open?id=1dYVPQIMNy9uoJ_jGyL8QSAtxRkGygm_o",""
